name,date
AKY001,-1612
BRC034,500
CHL003,-2008
CPA002,-681.5
ETR001,279
GRY001,-1560
H1I004,-2376
HDL004,745.5
HGC004,-2116
HGC040,-2160.5
HGH1600,1349
IKI003,-3220
IV3002,-3370.5
KKN099,-1756
KNC041,-655
KNC056,-854
KNC095,-654
KNC139,-587.5
KNL026,183
KO1037,-1847
KSZ005,-262.5
MGL008,723
MGL011,484.5
NEP018,-1797.5
NEP019,-1752
NEP021,-1853
S1L002,-2521
SAP004,-1322.5
SIA006,400
SJL019,-2729
SJL020,-3508.5
SME005,-3441
SUA004,-2229
TBS012,311.5
Tepos_35,1545
TGP001,-289.5
PNUSAS018445,2017
PNUSAS004674,2016
PNUSAS007756,2016
RKI_16-04961,2016
UMxr_1793,2016
85725,2015
96236,2015
ADRDL-14-18151,2014
0115_2009,2009
09_1655,2009
UMxr_826,2006
MDH-2014-00338,2002
872297,1994
92_0113,1992
88_33,1988
SARB69CDC27768,1968
65_10,1965
65_11bis,1965
57_1_CS,1957
M422__NCTC20229,1935
M554__NCTC20376,1935
M595__NCTC20379,1934
38K,1907
