V1,n_syn,n_nonsyn
STMMW_00441_1,179,613
STMMW_00651_1,595,1871
STMMW_00121_1,776,2644
STMMW_00461_1,720,2097
STMMW_00101_1,284,931
STMMW_00161_1,294,1038
STM1940_1,969,3351
STMMW_00471_1,1941,6564
STMMW_00141_1,232,803
STM4351_1,483,1740
STMMW_00051_1,1044,3249
STMMW_00701_1,254,934
STMMW_00131_1,603,2241
STMMW_00491_1,319,1031
STMMW_00721_1,568,1790
STMMW_00741_1,828,2826
STMMW_00041_1,517,1805
STMMW_00021_1,682,2108
STM2932_1,258,813
STMMW_00761_1,1062,3492
STM2666_1,27,117
STMMW_00081_1,440,1261
SEN0401_1,723,2220
STMMW_00011_1,1809,5580
STMMW_00451_1,138,510
STMMW_00681_1,829,2618
STMMW_00061_1,678,2184
STMMW_00111_1,1354,4397
STMMW_00401_1,918,2583
STM0942_1,1425,4416
STMMW_00171_1,1441,4859
STM3624_1,1204,3836
STMMW_00501_1,699,2154
STMMW_00191_1,491,1624
STM1092_1,110,403
STMMW_00361_1,995,3487
STM0834_1,1081,3662
STMMW_00481_1,355,1148
STMMW_00731_1,1033,3629
STMMW_00031_1,932,2929
STMMW_00751_1,759,2670
SNSL254_A1382_1,82,269
SC0831_1,75,312
SPAB_04503_1,77,247
STMMW_00151_1,353,1249
STM3624A_1,97,326
STMMW_00091_1,489,1653
STM3012_1,766,2303
STMMW_01381_1,914,2875
STMMW_00931_1,584,1963
STMMW_00951_1,573,1893
STMMW_01091_1,1225,3905
STMMW_01231_1,372,1104
STMMW_00971_1,871,2990
STMMW_01211_1,638,2197
STMMW_01271_1,258,840
STMMW_01071_1,483,1605
STMMW_01251_1,325,1052
STMMW_01011_1,2067,6654
STMMW_01351_1,1081,3347
STMMW_01291_1,1096,3368
STMMW_01191_1,1078,3638
STMMW_01371_1,561,1932
STMMW_01171_1,1014,3189
STMMW_01311_1,816,2433
STMMW_00781_1,684,2142
STMMW_01151_1,1167,3810
STMMW_01152_1,75,294
STMMW_01331_1,867,2607
STMMW_01131_1,1264,3569
STMMW_00981_1,1522,5561
STMMW_01111_1,586,1718
STMMW_01391_1,858,2598
STMMW_00921_1,312,1128
STMMW_00901_1,352,1241
STMMW_01081_1,1039,3470
STMMW_01221_1,1184,3802
STMMW_00961_1,779,2191
STMMW_01201_1,70,191
STMMW_00941_1,272,862
STMMW_01261_1,687,2139
STMMW_00911_1,1440,4149
STMMW_01241_1,732,2283
STMMW_01001_1,464,1516
STMMW_01021_1,1680,5376
STMMW_01341_1,807,2397
STMMW_01401_1,631,2123
STMMW_01181_1,780,2496
STMMW_01361_1,666,2097
STMMW_00821_1,177,615
STMMW_01161_1,406,1412
STMMW_01301_1,1005,3072
STMMW_00791_1,936,2925
STMMW_01141_1,679,2273
STMMW_01321_1,986,2965
STMMW_00991_1,538,1901
STMMW_00801_1,198,666
STMMW_01101_1,572,1966
STMMW_01711_1,516,1869
STMMW_01521_1,397,1295
STMMW_01731_1,221,823
STMMW_01501_1,303,1011
STMMW_01751_1,1755,5418
STMMW_01981_1,608,1786
STMMW_01771_1,449,1540
STMMW_01541_1,614,2239
STMMW_01851_1,844,2846
STMMW_01661_1,227,862
STMMW_01581_1,1841,6151
STMMW_01641_1,1941,5853
STMMW_01621_1,530,1846
STMMW_01601_1,1031,3244
STMMW_02081_1,944,2899
STMMW_01971_1,1492,5078
STMMW_01411_1,319,968
STMMW_01951_1,1878,5547
STMMW_01781_1,648,2133
STMMW_01891_1,350,1090
STMMW_01931_1,501,1614
STMMW_01451_1,522,1710
STMMW_01911_1,680,2146
STMMW_01471_1,752,2380
STMMW_01761_1,382,1229
STMMW_01491_1,1018,3140
STMMW_01531_1,647,1918
STMMW_01511_1,559,1682
STMMW_01721_1,571,2012
STMMW_01571_1,539,1756
STMMW_01991_1,662,2011
STMMW_01741_1,1108,3725
STMMW_01551_1,972,3249
STMMW_01841_1,281,1042
STMMW_01591_1,1388,4282
STMMW_01861_1,261,882
STMMW_02091_1,1098,3168
STMMW_01611_1,195,660
STMMW_01961_1,1775,5794
STMMW_01791_1,585,1728
STMMW_01421_1,1856,6262
STMMW_01881_1,579,1797
STMMW_01941_1,402,1191
STMMW_01441_1,117,459
STMMW_01921_1,297,1071
STMMW_01461_1,458,1405
STMMW_02101_1,262,908
STMMW_01901_1,999,3258
STMMW_01481_1,881,2728
STMMW_02351_1,827,2620
STMMW_02431_1,165,618
STMMW_02411_1,263,907
STMMW_02251_1,395,1279
STMMW_02471_1,514,1592
STMMW_02271_1,524,1753
STMMW_02211_1,545,1840
