gene	Locus tag	in cgMLST ?	Length	EC number	KO number	Gene Name	label	gene_name_figure	Function	N_allele	CDS	Pseudogene	missing	% presence	% pseudogenes	ID	order_spi
STY4521_1	STY4521	accessory_gene	1035		K12055	parA	parA	parA	chromosome partitioning ATPase	16	130	1	3013	4%	1%	STY4521	1
T_RS21520_1	T_RS21520	accessory_gene	1800				T_RS21520	ATP synthase	ATP synthase	80	289	4	2851	9%	1%	T_RS21520	2
T_RS21530_1	T_RS21530	accessory_gene	261				T_RS21530	hypothetical protein	hypothetical protein	47	294	0	2850	9%	0%	T_RS21530	3
T_RS21535_1	T_RS21535	accessory_gene	723				T_RS21535	Protein of uncharacterised function (DUF2786)	Protein of uncharacterised function (DUF2786)	68	283	10	2851	9%	3%	T_RS21535	4
T_RS21540_1	T_RS21540	accessory_gene	558				T_RS21540	Protein of uncharacterised function (DUF2857)	Protein of uncharacterised function (DUF2857)	21	152	3	2989	5%	2%	T_RS21540	5
T_RS21545_1	T_RS21545	accessory_gene	249				T_RS21545	Protein of uncharacterised function (DUF2857)	Protein of uncharacterised function (DUF2857)	42	291	1	2852	9%	0%	T_RS21545	6
STY4528_1	STY4528	accessory_gene	1344				STY4528	DNA-binding protein	DNA-binding protein	24	150	1	2993	5%	1%	STY4528	7
STY4529_1	STY4529	accessory_gene	780				STY4529	integrating conjugative element protein%2C PFL_4669 family	integrating conjugative element protein%2C PFL_4669 family	20	142	7	2995	5%	5%	STY4529	8
T_RS21560_1	T_RS21560	pseudogene	1995	5.99.1.2	K03169	topB	topB	topB	DNA topoisomerase III	77	148	114	2882	8%	44%	T_RS21560	9
T_RS21565_1	T_RS21565	accessory_gene	450				T_RS21565	hypothetical protein	hypothetical protein	67	346	0	2798	11%	0%	T_RS21565	10
STMMW_42061_1	STMMW_42061	cgMLST	654		K03111	ssb	ssb	ssb	single-stranded DNA-binding protein, partial	256	3053	81	10	100%	3%	STMMW_42061	11
SPC_RS21930_1	SPC_RS21930	pseudogene	951				SPC_RS21930	transposase_SPC_RS21930	putative transposase	83	193	100	2851	9%	34%	SPC_RS21930	12
T_RS21585_1	T_RS21585	accessory_gene	1245		K02487	pilL	pilL	pilL	PilL	88	280	15	2849	9%	5%	T_RS21585	13
T_RS21590_1	T_RS21590	pseudogene	420				pilM	pilM	pilus assembly protein PilP	55	115	169	2860	9%	60%	T_RS21590	14
STY4543_1	STY4543	accessory_gene	1296				pilO2	pilO2	PilO	26	142	6	2996	5%	4%	STY4543	15
T_RS21610_1	T_RS21610	accessory_gene	588				pilP	pilP	pilus assembly protein PilP	65	290	1	2853	9%	0%	T_RS21610	16
T_RS21615_1	T_RS21615	accessory_gene	1716				pilQ	pilQ	pilus assembly protein	88	281	6	2857	9%	2%	T_RS21615	17
T_RS21620_1	T_RS21620	pseudogene	1086				pilR	pilR	pilus assembly protein PilR	77	248	47	2849	9%	16%	T_RS21620	18
STY4547_1	STY4547	accessory_gene	636				pilS	pilS	IncI1 plasmid conjugative transfer prepilin PilS	22	212	1	2931	7%	0%	STY4547	19
