Locus tag,in cgMLST ?,Length,EC number,KO number,Gene Name,Function,N_allele,CDS,Pseudogene,missing,% presence,% pseudogenes,,,,
SC0831,cgMLST,129,,,,small protein MntS,53,3144,0,0,100%,0%,,,,
SEN0401,cgMLST,981,2.7.4.16,K00946,thiL,thiamine-monophosphate kinase,532,3142,0,2,100%,0%,,,,
SNSL254_A1382,cgMLST,117,,,,Uncharacterized membrane protein yoaK,110,3118,23,3,100%,1%,,,,
SPAB_04503,cgMLST,108,,K18862,ldr,"toxic polypeptide, small",60,3111,3,30,99%,0%,,,,
STM0834,cgMLST,1581,,,,phosphoethanolamine transferase,777,3109,34,1,100%,1%,,,,
STM0942,cgMLST,1947,3.6.3.-,K05685,macB,MacB family efflux pump subunit,823,3108,32,4,100%,1%,,,,
STM1092,cgMLST,171,,,,"putative cytoplasmic protein, partial",79,3106,0,38,99%,0%,,,,
STM1940,cgMLST,1440,,,,putative cell wall-associated hydrolase,755,3044,92,8,100%,3%,,,,
STM2666,cgMLST,48,,,,hypothetical protein,20,3142,2,0,100%,0%,,,,
STM2932,cgMLST,357,,,,putative inner membrane protein,223,3060,84,0,100%,3%,,,,
STM3012,cgMLST,1023,,,,LacI family transcriptional regulator,596,3019,81,44,99%,3%,,,,
STM3624,cgMLST,1680,,,,endoglucanase,783,3088,30,26,99%,1%,,,,
STM3624A,cgMLST,141,,,,methionine gamma-lyase,56,3105,14,25,99%,0%,,,,
STM4351,cgMLST,741,,K09996,artJ,arginine ABC transporter substrate-binding protein,490,3104,30,10,100%,1%,,,,
STMMW_00001,cgMLST,87,,,thrL,thr operon leader peptide,49,3142,0,2,100%,0%,,,,
STMMW_00011,cgMLST,2463,,K12524,thrA,bifunctional aspartate kinase/homoserine dehydrogenase I,881,3138,3,3,100%,0%,,,,
STMMW_00021,cgMLST,930,2.7.1.39,K00872,thrB,homoserine kinase,463,3140,2,2,100%,0%,,,,
STMMW_00031,cgMLST,1287,4.2.3.1,K01733,thrC,threonine synthase,664,3140,3,1,100%,0%,,,,
STMMW_00041,cgMLST,774,,K09861,yaaA,hypothetical protein,415,3143,0,1,100%,0%,,,,
STMMW_00051,cgMLST,1431,,K03310,yaaJ,amino acid sodium/proton transporter,744,3106,36,2,100%,1%,,,,
STMMW_00061,cgMLST,954,2.2.1.2,K00616,talB,transaldolase B,475,3142,2,0,100%,0%,,,,
STMMW_00071,cgMLST,591,2.7.7.75,K03831,mog,molybdopterin adenylyltransferase,386,3144,0,0,100%,0%,,,,
STMMW_00081,cgMLST,567,,K07034,yaaH,YaaH protein,263,3140,3,1,100%,0%,,,,
STMMW_00091,cgMLST,714,,,htgA,hypothetical protein,486,3061,48,35,99%,2%,,,,
STMMW_00101,cgMLST,405,,,yaaI,UPF0412 protein yaaI Flags: Precursor,220,3096,12,36,99%,0%,,,,
STMMW_00111,cgMLST,1917,,K04043,dnaK,molecular chaperone DnaK,731,3144,0,0,100%,0%,,,,
STMMW_00121,cgMLST,1140,,K03686,dnaJ,molecular chaperone DnaJ,439,3142,1,1,100%,0%,,,,
